TIME,WBE_1,WBE_2,WBE_3,FSP_X,FSP_Y,FSP_Z
0.19,0.0698548,0.465581527217417,0.0651515,0.0333078,-0.0660324,-9.06103
0.191,0.0720446,0.457603300497112,0.0678468,0.014723,-0.055072,-9.09255
0.192,0.0758089,0.449520770273549,0.0692468,0.0461214,-0.0544469,-9.12731
0.193,0.0774974,0.441211336751701,0.0708219,0.043174,-0.0526938,-9.14554
0.194,0.0808269,0.432669406991198,0.0732181,0.0246863,-0.0492552,-9.18398
0.195,0.0826773,0.424024938839219,0.0743707,0.0433435,-0.0320195,-9.18362
0.196,0.0864911,0.41522285716008,0.0762421,0.018752,-0.0463027,-9.21303
0.197,0.0889118,0.406154953861794,0.0778764,0.0243617,-0.0491798,-9.22972
0.198,0.0923457,0.396990144972731,0.0803184,0.0328559,-0.0574247,-9.27044
0.199,0.0946721,0.387720787899819,0.081487,0.0372343,-0.0499749,-9.29124
0.2,0.0976043,0.378418313872417,0.0838495,0.0168195,-0.083559,-9.30391
0.201,0.100116,0.369105894727922,0.0867033,0.0457878,-0.0640074,-9.29184
0.202,0.102806,0.35975518972925,0.0888065,0.028591,-0.0271111,-9.29383
0.203,0.106226,0.350391141701003,0.0902894,0.0401197,-0.0463879,-9.31262
0.204,0.108164,0.340969185144268,0.0922115,0.0218952,-0.064115,-9.3257
0.205,0.110822,0.331342111967059,0.0933911,0.0321916,-0.0443772,-9.32467
0.206,0.113974,0.321587173059405,0.095473,0.0378356,-0.0453172,-9.34802
0.207,0.115923,0.31180377318845,0.0971555,0.0368551,-0.0578711,-9.35931
0.208,0.119608,0.301933387694847,0.0995766,0.0336376,-0.0613018,-9.37326
0.209,0.123075,0.29199225734224,0.0993062,0.0250655,-0.0610878,-9.39234
0.21,0.126297,0.28194546674748,0.101311,0.0533616,-0.0750459,-9.44011
0.211,0.130415,0.27167958305675,0.103318,0.024865,-0.0640069,-9.4385
0.212,0.134397,0.261462566386906,0.104291,0.0291516,-0.0511197,-9.46361
0.213,0.139187,0.251103437013536,0.105292,0.0220145,-0.0493105,-9.47351
0.214,0.142506,0.240623667005568,0.105635,0.0299438,-0.042819,-9.4873
0.215,0.146032,0.230142673860229,0.107583,0.0429333,-0.0463949,-9.50392
0.216,0.14972,0.21945972384695,0.108232,0.0339395,-0.0558475,-9.50815
0.217,0.152543,0.208722877390045,0.1084,0.0317887,-0.0739338,-9.54273
0.218,0.156572,0.197927442888959,0.110202,0.02029,-0.0537591,-9.54589
0.219,0.159959,0.187060761414792,0.110429,0.0372642,-0.0622278,-9.58547
0.22,0.162794,0.176269632041422,0.111627,0.0336276,-0.0439361,-9.58149
0.221,0.16585,0.165521568656585,0.112289,0.0323644,-0.0531309,-9.60068
0.222,0.168485,0.154630558864213,0.113454,0.0292419,-0.0571828,-9.59971
0.223,0.171315,0.143872543507622,0.114372,0.0299549,-0.0595984,-9.59069
0.224,0.173871,0.133164657190385,0.114557,0.0375683,-0.0592854,-9.58281
0.225,0.176392,0.122401297179761,0.116935,0.0405079,-0.0561182,-9.62636
0.226,0.178666,0.111740588909361,0.116216,0.043236,-0.0376256,-9.5979
0.227,0.18126,0.101025337847761,0.116873,0.0577465,-0.0539856,-9.64926
0.228,0.183421,0.0903368135087459,0.11717,0.034443,-0.0571035,-9.64576
0.229,0.185026,0.0795897745745342,0.118097,0.0145332,-0.059206,-9.65283
0.23,0.187061,0.0690038830293759,0.11885,0.0407125,-0.057293,-9.66519
0.231,0.188159,0.0583648828335284,0.119036,0.041113,-0.050162,-9.68864
0.232,0.190197,0.047766834286824,0.118723,0.0405813,-0.0625083,-9.72431
0.233,0.191325,0.0371820664354596,0.118916,0.0379185,-0.061378,-9.73652
0.234,0.192636,0.0266985387290743,0.119619,0.0273561,-0.0579929,-9.74604
0.235,0.195386,0.016195779174668,0.119999,0.0443234,-0.066463,-9.7527
0.236,0.195065,0.00577356837312716,0.119191,0.0232337,-0.0416934,-9.80111
0.237,0.197256,-0.0046758004158773,0.119958,0.0201333,-0.0469184,-9.80874
0.238,0.197472,-0.015011391724311,0.120822,0.0335702,-0.0499757,-9.7892
