TIME,FSP_X
0.737,0.0786437
0.738,0.0785941
0.739,0.0785432
0.74,0.078533
0.741,0.0783642
0.742,0.0781671
0.743,0.078377
0.744,0.0786506
0.745,0.0786707
0.746,0.0785673
0.747,0.0784479
0.748,0.0784126
0.749,0.0783253
0.75,0.0782387
0.751,0.078723
0.752,0.0791091
0.753,0.0792941
0.754,0.0795811
0.755,0.0795896
0.756,0.0796365
0.757,0.0796855
0.758,0.0797505
0.759,0.0798491
0.76,0.0799361
0.761,0.0798231
0.762,0.079744
0.763,0.0797818
0.764,0.0797746
0.765,0.0798466
0.766,0.079897
0.767,0.0798874
0.768,0.0798759
0.769,0.079899
0.77,0.0799182
0.771,0.0802473
0.772,0.0809991
0.773,0.0814861
0.774,0.0815601
0.775,0.0815795
0.776,0.0815785
0.777,0.0815696
0.778,0.0815254
0.779,0.0814331
0.78,0.0813857
0.781,0.081408
0.782,0.0814122
0.783,0.0813803
0.784,0.0817531
0.785,0.0820845
0.786,0.0819537
0.787,0.0817838
0.788,0.081623
0.789,0.0814652
0.79,0.0812852
0.791,0.0810876
0.792,0.0809313
0.793,0.0807649
0.794,0.0805277
0.795,0.0803312
0.796,0.0801586
0.797,0.0799226
0.798,0.0797061
0.799,0.0794629
0.8,0.0792138
0.801,0.0790656
0.802,0.0789422
0.803,0.0788449
0.804,0.0786044
0.805,0.0782329
0.806,0.0780256
0.807,0.0779552
0.808,0.0778511
0.809,0.0777503
0.81,0.0777022
0.811,0.0776245
0.812,0.0775055
0.813,0.0774212
0.814,0.0774292
0.815,0.077897
0.816,0.0786265
0.817,0.0788841
0.818,0.0788878
0.819,0.0789557
0.82,0.0790122
0.821,0.0790662
0.822,0.0791003
0.823,0.0791838
0.824,0.0792946
0.825,0.0792058
0.826,0.0790911
0.827,0.0790828
0.828,0.0790221
0.829,0.0789278
0.83,0.078682
0.831,0.0785338
0.832,0.0785621
0.833,0.078494
0.834,0.0787669
0.835,0.0790132
0.836,0.078853
0.837,0.078767
0.838,0.0787926
0.839,0.0785514
0.84,0.0782956
0.841,0.07824
0.842,0.0781376
0.843,0.0780623
0.844,0.0780157
0.845,0.0783171
0.846,0.0786173
0.847,0.0786211
0.848,0.0786164
0.849,0.0786319
0.85,0.0786509
0.851,0.0786308
0.852,0.0785896
0.853,0.0785152
0.854,0.0782602
0.855,0.0780008
0.856,0.0781572
0.857,0.078277
0.858,0.0781054
0.859,0.0778809
0.86,0.0777295
0.861,0.0775597
0.862,0.0773069
0.863,0.0771825
0.864,0.0769862
0.865,0.0767704
0.866,0.0765953
0.867,0.0764312
0.868,0.0763152
0.869,0.0762475
0.87,0.0760697
0.871,0.075852
0.872,0.075709
0.873,0.0755641
